timestamp,x,y,z,w
1517145459927979,0.137268,-0.115417,0.973633,-0.140747
1517145459950002,0.137329,-0.115356,0.973633,-0.140747
1517145459965006,0.13739,-0.115356,0.973633,-0.140747
1517145459988077,0.13739,-0.115356,0.973633,-0.140747
1517145460002034,0.137451,-0.115356,0.973633,-0.140686
1517145460026086,0.137451,-0.115356,0.973633,-0.140625
1517145460048065,0.137451,-0.115356,0.973633,-0.140564
1517145460062081,0.137512,-0.115295,0.973633,-0.140503
1517145460085091,0.137512,-0.115295,0.973633,-0.140503
1517145460114111,0.137573,-0.115234,0.973633,-0.140503
1517145460122152,0.137634,-0.115234,0.973633,-0.140503
1517145460145134,0.137695,-0.115234,0.973633,-0.140503
1517145460168150,0.137573,-0.115051,0.973694,-0.140442
1517145460182195,0.137512,-0.115112,0.973694,-0.140381
1517145460205177,0.137512,-0.115356,0.973694,-0.14032
1517145460229209,0.137512,-0.115356,0.973694,-0.140259
1517145460242206,0.137512,-0.115295,0.973694,-0.140259
1517145460265254,0.137573,-0.115295,0.973694,-0.140259
1517145460288234,0.137573,-0.115234,0.973694,-0.140259
1517145460302244,0.137756,-0.115417,0.973633,-0.140137
1517145460332266,0.137817,-0.115417,0.973633,-0.140137
1517145460347277,0.137817,-0.115417,0.973633,-0.140137
1517145460368293,0.137817,-0.115417,0.973633,-0.140137
1517145460385304,0.137939,-0.115479,0.973633,-0.140015
1517145460408320,0.137939,-0.115479,0.973633,-0.140015
1517145460428334,0.138,-0.115417,0.973633,-0.140015
1517145460445347,0.138062,-0.115417,0.973633,-0.140015
1517145460468381,0.138062,-0.115417,0.973633,-0.140015
1517145460488430,0.138123,-0.115356,0.973633,-0.139954
1517145460505442,0.138123,-0.115356,0.973633,-0.139954
1517145460527408,0.138184,-0.115356,0.973633,-0.139954
1517145460548421,0.138123,-0.115173,0.973694,-0.139893
1517145460565432,0.138184,-0.115112,0.973694,-0.139893
1517145460587464,0.138245,-0.115295,0.973633,-0.139893
1517145460610464,0.138245,-0.115417,0.973633,-0.139771
1517145460625475,0.138184,-0.115356,0.973694,-0.139648
1517145460647490,0.138184,-0.115295,0.973694,-0.139648
1517145460668560,0.138184,-0.115417,0.973694,-0.139526
1517145460685560,0.138184,-0.115417,0.973694,-0.139526
1517145460707533,0.138245,-0.115417,0.973694,-0.139526
1517145460728549,0.138306,-0.115417,0.973694,-0.139526
1517145460744577,0.138306,-0.115417,0.973694,-0.139465
1517145460767579,0.138245,-0.11554,0.973694,-0.139404
1517145460790594,0.138123,-0.115601,0.973694,-0.139343
1517145460804604,0.138184,-0.11554,0.973694,-0.139343
1517145460827617,0.138184,-0.115417,0.973694,-0.139282
1517145460849637,0.138062,-0.115295,0.973755,-0.139282
1517145460865645,0.137878,-0.115173,0.973755,-0.139343
1517145460887678,0.137878,-0.115417,0.973755,-0.139404
1517145460910678,0.137695,-0.115479,0.973755,-0.139404
1517145460924702,0.137695,-0.115417,0.973755,-0.139343
1517145460947704,0.137573,-0.115601,0.973755,-0.139282
1517145460969726,0.137573,-0.115906,0.973755,-0.139221
1517145460992742,0.13739,-0.116089,0.973755,-0.13916
1517145461007747,0.137451,-0.116089,0.973755,-0.13916
1517145461029762,0.137451,-0.116028,0.973755,-0.13916
1517145461044825,0.137573,-0.116211,0.973755,-0.139099
1517145461067823,0.137695,-0.116394,0.973694,-0.138977
1517145461089804,0.137756,-0.116394,0.973694,-0.138977
1517145461110874,0.137756,-0.116394,0.973694,-0.138977
1517145461127865,0.137817,-0.116394,0.973694,-0.138977
1517145461149849,0.137817,-0.116333,0.973694,-0.138977
1517145461164857,0.137878,-0.116333,0.973694,-0.138977
1517145461187927,0.137756,-0.116272,0.973755,-0.138916
1517145461209889,0.137817,-0.116272,0.973755,-0.138916
1517145461224901,0.137817,-0.116272,0.973755,-0.138855
1517145461247969,0.137878,-0.116211,0.973755,-0.138855
1517145461270985,0.137878,-0.116211,0.973755,-0.138855
1517145461290946,0.137939,-0.11615,0.973755,-0.138855
1517145461308008,0.138,-0.11615,0.973694,-0.138855
1517145461335994,0.137939,-0.116211,0.973694,-0.138794
1517145461350989,0.137817,-0.116272,0.973755,-0.138794
1517145461368001,0.137634,-0.116211,0.973755,-0.138794
1517145461390016,0.137573,-0.11615,0.973816,-0.138733
1517145461411032,0.137573,-0.11615,0.973816,-0.138733
1517145461428044,0.137573,-0.11615,0.973816,-0.138733
1517145461451115,0.137634,-0.116089,0.973816,-0.138733
1517145461471088,0.137634,-0.116089,0.973816,-0.138733
1517145461488087,0.137695,-0.116089,0.973816,-0.138733
1517145461510102,0.137695,-0.116089,0.973816,-0.138733
1517145461531150,0.137756,-0.116272,0.973755,-0.138672
1517145461548129,0.137756,-0.116272,0.973755,-0.138672
1517145461553159,0.137756,-0.116272,0.973755,-0.138611
1517145461576153,0.137817,-0.116211,0.973755,-0.138611
1517145461598163,0.137817,-0.116211,0.973755,-0.138611
1517145461614175,0.137878,-0.116211,0.973755,-0.138611
1517145461635191,0.137878,-0.116272,0.973755,-0.13855
1517145461658208,0.137817,-0.116211,0.973816,-0.138428
1517145461673273,0.137756,-0.116272,0.973816,-0.138367
1517145461697288,0.137756,-0.116455,0.973816,-0.138306
1517145461718304,0.137817,-0.116455,0.973816,-0.138306
1517145461733314,0.137817,-0.116455,0.973816,-0.138245
1517145461757330,0.137878,-0.116455,0.973816,-0.138245
1517145461778291,0.137878,-0.116394,0.973816,-0.138245
1517145461793304,0.137939,-0.116516,0.973755,-0.138184
1517145461823339,0.137939,-0.116516,0.973755,-0.138184
1517145461838388,0.138,-0.116516,0.973755,-0.138184
1517145461853361,0.138,-0.116516,0.973755,-0.138184
1517145461875363,0.138,-0.116516,0.973755,-0.138184
1517145461898379,0.138062,-0.116516,0.973755,-0.138123
1517145461913407,0.138062,-0.116455,0.973755,-0.138123
1517145461935419,0.138123,-0.116455,0.973755,-0.138123
1517145461958419,0.138123,-0.116455,0.973755,-0.138123
1517145461973430,0.138123,-0.116455,0.973755,-0.138123
1517145461995445,0.138184,-0.116455,0.973755,-0.138123
1517145462018462,0.138184,-0.116455,0.973755,-0.138123
1517145462032474,0.138184,-0.116394,0.973755,-0.138123
1517145462055521,0.138245,-0.116394,0.973755,-0.138123
1517145462077510,0.138245,-0.116394,0.973755,-0.138123
1517145462100537,0.138306,-0.116394,0.973755,-0.138123
1517145462116532,0.138306,-0.116516,0.973755,-0.138062
1517145462137600,0.138306,-0.116577,0.973755,-0.138
1517145462152611,0.138306,-0.116577,0.973755,-0.138
1517145462175575,0.138306,-0.116516,0.973755,-0.138
1517145462197644,0.138367,-0.116516,0.973755,-0.137939
1517145462212654,0.138367,-0.116516,0.973755,-0.137939
1517145462235634,0.138428,-0.116516,0.973755,-0.137939
1517145462257685,0.138489,-0.116516,0.973755,-0.137939
1517145462275646,0.138489,-0.116516,0.973755,-0.137939
1517145462295676,0.13855,-0.116455,0.973755,-0.137939
1517145462317729,0.13855,-0.116455,0.973755,-0.137939
1517145462335688,0.13855,-0.116455,0.973755,-0.137939
1517145462355757,0.138611,-0.116455,0.973755,-0.137939
1517145462377773,0.138611,-0.116455,0.973755,-0.137939
1517145462395732,0.138672,-0.116455,0.973755,-0.137939
1517145462415751,0.138611,-0.116333,0.973755,-0.137878
1517145462446821,0.138611,-0.116333,0.973755,-0.137878
1517145462454775,0.138611,-0.116272,0.973755,-0.137878
1517145462482847,0.138733,-0.116455,0.973694,-0.137878
1517145462497856,0.138794,-0.116394,0.973694,-0.137878
1517145462514857,0.138794,-0.116455,0.973694,-0.137878
1517145462535830,0.138794,-0.116455,0.973694,-0.137878
1517145462557900,0.138855,-0.116455,0.973694,-0.137878
1517145462588920,0.138855,-0.116394,0.973694,-0.137878
1517145462595907,0.138916,-0.116394,0.973694,-0.137878
1517145462617888,0.138916,-0.116394,0.973694,-0.137878
1517145462635902,0.138977,-0.116394,0.973694,-0.137878
1517145462655914,0.138977,-0.116394,0.973694,-0.137878
1517145462685936,0.139038,-0.116333,0.973694,-0.137878
1517145462695946,0.139038,-0.116333,0.973694,-0.137878
1517145462715957,0.139099,-0.116394,0.973694,-0.137817
1517145462738026,0.138855,-0.11615,0.973755,-0.137878
1517145462755986,0.137634,-0.116211,0.973877,-0.138245
1517145462776007,0.13678,-0.116333,0.973877,-0.138794
1517145462798065,0.136658,-0.115295,0.973999,-0.138855
1517145462816063,0.137207,-0.115784,0.973938,-0.138611
1517145462835057,0.136902,-0.117065,0.973877,-0.138245
1517145462858090,0.134094,-0.118225,0.974365,-0.136353
1517145462876072,0.131836,-0.11908,0.974915,-0.133972
1517145462895139,0.131104,-0.121338,0.974854,-0.132996
1517145462918156,0.131042,-0.121521,0.974854,-0.133057
1517145462936166,0.130676,-0.11908,0.975159,-0.133179
1517145462955182,0.130188,-0.117126,0.975464,-0.133179
1517145462978144,0.129883,-0.117004,0.975464,-0.133484
1517145463002177,0.130127,-0.118347,0.97522,-0.134155
1517145463015225,0.131226,-0.118347,0.974976,-0.134888
1517145463041224,0.132263,-0.117493,0.974854,-0.135376
1517145463056217,0.13269,-0.11676,0.974854,-0.135498
1517145463075211,0.132751,-0.116699,0.974854,-0.135498
1517145463105287,0.132263,-0.11676,0.974976,-0.13501
1517145463120299,0.131531,-0.116943,0.975159,-0.134155
1517145463135308,0.131042,-0.117065,0.975281,-0.133606
1517145463158272,0.130859,-0.117004,0.975342,-0.133484
1517145463176336,0.130615,-0.116211,0.975464,-0.133484
1517145463195350,0.130432,-0.115906,0.975525,-0.133545
1517145463218314,0.130005,-0.115784,0.975525,-0.133911
1517145463242333,0.130127,-0.115906,0.975525,-0.134094
1517145463255340,0.130737,-0.116211,0.975342,-0.134155
1517145463281358,0.13147,-0.116333,0.97522,-0.13446
1517145463296369,0.132202,-0.11615,0.975098,-0.134827
1517145463317405,0.132324,-0.116272,0.975098,-0.134583
